














"A antecipação do 13º ocorre no meio do ano posso solicitar a antecipação depois desse período?",13º Salário nas Férias
"A partir de quando e até quando posso solicitar antecipação do 13º salário nas férias?",13º Salário nas Férias
"décimo terceiro férias",13º Salário nas Férias
"Em que mês posso solicitar a antecipação do 13º salário?",13º Salário nas Férias
"Faltas reduzem o período de férias?",13º Salário nas Férias
"Ha alguma possibilidade de perder as ferias?",13º Salário nas Férias
"Ha alguma possibilidade de perder as férias?",13º Salário nas Férias
"na solicitação das feris posso adiantar o 13 salario ?",13º Salário nas Férias
"O que acontece se eu perder dias de férias por faltas?",13º Salário nas Férias
"Posso adiantar o 13° salario nas ferias?",13º Salário nas Férias
"Posso pedir 13º salário no momento da saída das férias?",13º Salário nas Férias
"Quando posso solicitar o 13 ?",13º Salário nas Férias
"Quando posso solicitar o pagamento do 13 salario junto com as férias?",13º Salário nas Férias
"Quando recebo o 13º?",13º Salário nas Férias
"abono férias",Abono Pecuniário
"A empresa permite a venda de uma parte das minhas férias?",Abono Pecuniário
"A Magna permite o abono pecuniário?",Abono Pecuniário
"É possível vender as férias?",Abono Pecuniário
"Ferias podem ser vendidas?",Abono Pecuniário
"O que é abono Pecuniário?",Abono Pecuniário
"Posso pedir o abono no segundo período de férias?",Abono Pecuniário
"Posso vender as ferias?",Abono Pecuniário
"Posso vender as férias?",Abono Pecuniário
"Posso vender minhas férias?",Abono Pecuniário
"Posso vender o total de minhas férias?
",Abono Pecuniário
"Posso vender quantos dias de férias?",Abono Pecuniário
"qual o prazo maximo que posso ter para o abono de férias?",Abono Pecuniário
"Quando posso pedir o abono de férias?",Abono Pecuniário
"Quando posso pedir o abono pecuniário?",Abono Pecuniário
"Quantos dias das férias podem ser vendidos?",Abono Pecuniário
"Existe a possibilidade de alterar a data das férias uma vez que ela já está aprovada?",Alteração do Período de Férias
"Posso alterar a data das minhas férias?",Alteração do Período de Férias
"Preciso alterar o meu período de férias o que fazer?",Alteração do Período de Férias
"Qual o prazo para alterar o meu período de férias?",Alteração do Período de Férias
"Tenho férias marcadas e já aprovadas mas quero alterar a data de saída quanto tempo antes devo avisar o Departamento Pessoal para que isso seja possível?",Alteração do Período de Férias
"Tive um imprevisto posso mudar a data das minhas férias?",Alteração do Período de Férias
"como aponto as minhas horas?",Apontamento Time-Sheet - Período de Férias
"Estou com menos de trinta dias de férias no meu saldo porque?",Apontamento Time-Sheet - Período de Férias
"Porque estou com menos de 30 dias de férias no meu saldo?",Apontamento Time-Sheet - Período de Férias
"Posso ter direito a menos de 30 dias de férias?",Apontamento Time-Sheet - Período de Férias
"preciso fazer o timesheet durante as férias?",Apontamento Time-Sheet - Período de Férias
"tenho que fazer apontamento durante as férias?",Apontamento Time-Sheet - Período de Férias
"Tenho que fazer apontamentos nas ferias?",Apontamento Time-Sheet - Período de Férias
"Tenho que fazer apontamentos nas férias?",Apontamento Time-Sheet - Período de Férias
"A partir de quantos dias trabalhados eu tenho direito ao adiantamento salarial?",Cálculo de Férias
"cálculo férias",Cálculo de Férias
"Como fica meu pagamento com a saída das férias? Recebo adiantamento salarial?",Cálculo de Férias
"Como posso saber se vou ter direito ao adiantamento e pagamento no período de férias?",Cálculo de Férias
"Eu recebo salário nas férias?",Cálculo de Férias
"Quantos dias devo trabalhar para receber o adiantamento?",Cálculo de Férias
"vale",Cálculo de Férias
"valores",Cálculo de Férias
"A Magna paga a 2ª férias quando vencida?",Considerações Gerais / Acumulo de férias
