"Posso entrar em acordo com meu gerente e acumular duas férias?",Acúmulo de férias
"É permitido acumular férias?",Acúmulo de férias
"É possível acumular dois períodos de férias?",Acúmulo de férias
"Há restrições para acumulo de férias?",Acúmulo de férias
"Tenho uma férias vencida e outra está chegando. O que faço?",Acúmulo de férias
"Em quais situações posso acumular férias?",Acúmulo de férias
"Quem devo consultar caso não haja resposta na minha solicitação de férias?",Aprovação automática de férias
"O que fazer quando meu gestor não aprovar nem reprovar as férias solicitadas?",Aprovação automática de férias
"O que acontece caso meu gestor não aprove minhas férias até a data limite?",Aprovação automática de férias
"Quais os procedimentos caso minha solicitação de férias não seja respondida?",Aprovação automática de férias
"Fiz minha solicitação de férias porém ainda não obtive resposta. Como proceder?",Aprovação automática de férias
"A solicitação de férias foi feita porém não respondida. Quais as consequências?",Aprovação automática de férias
"Os gerentes devem aprovar ou reprovar as solicitações de férias com qual frequência?",Aprovação e Reprovação das férias
"Existem dias específicos para os gerentes verificarem as solicitações de férias?",Aprovação e Reprovação das férias
"Quais dias os gerentes verificam as solicitações de férias?",Aprovação e Reprovação das férias
"Com qual frequência os gerentes devem verificar a solicitação de férias?",Aprovação e Reprovação das férias
"A aprovação das férias deve ser feita diariamente?",Aprovação e Reprovação das férias
"Sou gerente. Com qual frequência devo aprovar ou reprovar as férias?",Aprovação e Reprovação das férias
"Não posso ir até a Magna assinar o recibo no momento. Como proceder?",Assinatura do recibo de férias
"Com quantos dias de antecedência devo assinar meu recibo de férias?",Assinatura do recibo de férias
"Tenho que assinar meu recibo de férias porém não posso ir até a Magna. O que devo fazer?",Assinatura do recibo de férias
"Qual o prazo para assinatura do recibo de férias?",Assinatura do recibo de férias
"É necessário assinar o recibo de férias com quantos dias de antecedência?",Assinatura do recibo de férias
"Como sou informado da assinatura do recibo de férias?",Assinatura do recibo de férias
"Posso escolher qualquer dia para tirar férias?",Data de inicio de férias
"Posso iniciar minhas férias em qualquer data?",Data de inicio de férias
"Existe algum dia específico para sair de férias?",Data de inicio de férias
"É possível iniciar as férias após um feriado?",Data de inicio de férias
"Posso escolher o dia de início das férias?",Data de inicio de férias
"Quando eu posso sair de ferias?",Data de inicio de férias
"De quais formas posso dividir minhas férias?",Fracionamento das férias
"É possível dividir as férias em quantos períodos?",Fracionamento das férias
"É possível vender as férias?",Fracionamento das férias
"Posso dividir minhas férias em várias partes?",Fracionamento das férias
"Posso vender completamente minhas férias?",Fracionamento das férias
"A empresa permite a venda de uma parte das minhas férias?",Fracionamento das férias
"Posso pedir férias após o período de licença maternidade?",Início das férias após retorno de Licença Maternidade
"É necessário iniciar as férias em uma segunda feira após retornar de licença maternidade?",Início das férias após retorno de Licença Maternidade
"Tenho que iniciar minhas férias em uma segunda-feira mesmo retornando de licença-maternidade?",Início das férias após retorno de Licença Maternidade
"Quero tirar férias logo após a licença maternidade. Tenho que iniciar em uma segunda-feira?",Início das férias após retorno de Licença Maternidade
"Posso emendar o retorno da licença maternidade com as férias?",Início das férias após retorno de Licença Maternidade
"É possível sair de férias logo após o término do período de licença maternidade?",Início das férias após retorno de Licença Maternidade
"Todos podem dividir as férias?",Período de férias para empregados com mais de 18 e menos de 50 anos
"O que devo fazer para dividir minhas férias em dois períodos?",Período de férias para empregados com mais de 18 e menos de 50 anos
"Posso dividir minhas férias?",Período de férias para empregados com mais de 18 e menos de 50 anos
"É possível fracionar o período de férias?",Período de férias para empregados com mais de 18 e menos de 50 anos
"Quem tem o direito de dividir as férias?",Período de férias para empregados com mais de 18 e menos de 50 anos
"Quais os requisitos para dividir as férias?",Período de férias para empregados com mais de 18 e menos de 50 anos
"Quem não pode dividir as férias?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"Existe alguma restrição para tirar as férias em um só período?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"Quem não pode fracionar as férias?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"Em quais casos devo tirar as férias em um único período?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"É necessário tirar as férias em um único período?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"Quem deve tirar as férias em um único período?",Período de férias único para colaboradores com menos de 18 e mais de 50 anos
"Fiz a solicitação de férias no sistema. Em quanto tempo receberei uma resposta?",Prazo de aprovação de férias do colaborador
"Qual o prazo para as minhas férias serem aprovadas ou reprovadas no sistema?",Prazo de aprovação de férias do colaborador
